SensorId, QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g)
4.0,0.7112,-0.56259996,-0.3233,-0.2703,0.003,0.003,-0.003
4.0,0.71109998,-0.56259996,-0.32339999,-0.27039999,0.006,0.003,-0.003
4.0,0.71099997,-0.56269997,-0.32339999,-0.2705,0.009,0.002,-0.004
4.0,0.71079999,-0.56279999,-0.32349998,-0.2705,0.007,0.001,-0.004
4.0,0.71079999,-0.56279999,-0.32349998,-0.27059999,0.003,0.003,-0.004
4.0,0.71069998,-0.56290001,-0.32359999,-0.2705,0.0,0.002,-0.004
4.0,0.71059996,-0.56290001,-0.32369998,-0.27039999,-0.003,0.002,-0.003
4.0,0.71059996,-0.56299996,-0.3238,-0.27039999,-0.003,0.001,-0.002
4.0,0.71059996,-0.56299996,-0.32389998,-0.27039999,-0.001,0.0,-0.001
4.0,0.7105,-0.56299996,-0.32389998,-0.2703,-0.001,0.001,0.0
4.0,0.7105,-0.56299996,-0.324,-0.2703,-0.001,0.001,-0.004
4.0,0.71039999,-0.5632,-0.32409999,-0.2701,-0.001,0.001,-0.007
4.0,0.71029997,-0.56330001,-0.3242,-0.26999998,-0.003,0.0,-0.005
4.0,0.71020001,-0.56330001,-0.32429999,-0.26989999,-0.003,-0.001,-0.004
4.0,0.71020001,-0.56339997,-0.32439998,-0.26980001,-0.002,0.0,-0.002
4.0,0.71020001,-0.56339997,-0.32439998,-0.26980001,0.001,0.001,0.0
4.0,0.7101,-0.56349999,-0.32439998,-0.26980001,0.002,0.001,-0.001
4.0,0.7101,-0.56349999,-0.32439998,-0.26980001,0.0,0.0,-0.001
4.0,0.7101,-0.5636,-0.32429999,-0.2696,-0.002,0.002,-0.001
4.0,0.7101,-0.56369996,-0.32429999,-0.26949999,-0.004,0.001,-0.001
4.0,0.7101,-0.56369996,-0.32429999,-0.2694,-0.005,0.001,-0.001
4.0,0.71020001,-0.56379998,-0.32429999,-0.2692,-0.008,0.001,-0.001
4.0,0.71020001,-0.56379998,-0.32429999,-0.26899999,-0.007,0.0,-0.001
4.0,0.71020001,-0.56389999,-0.3242,-0.26890001,-0.003,-0.001,-0.001
4.0,0.71020001,-0.56389999,-0.3242,-0.26879999,0.0,0.0,0.0
4.0,0.71020001,-0.56400001,-0.32409999,-0.2687,0.0,0.0,0.0
4.0,0.71029997,-0.56409997,-0.324,-0.26859999,-0.001,-0.001,-0.003
4.0,0.71029997,-0.56419998,-0.324,-0.26839998,0.0,0.0,-0.004
4.0,0.71029997,-0.5643,-0.32389998,-0.2683,0.0,0.001,-0.004
4.0,0.71029997,-0.56439996,-0.3238,-0.26809999,0.0,0.001,0.0
4.0,0.71039999,-0.56439996,-0.32369998,-0.26800001,0.0,0.003,0.0
