SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82749999, -0.51410002, -0.19080000, -0.11979999, 0.00000000, -0.00100000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0000, 0, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80979997, -0.57769996, 0.03630000, -0.09490000, 0.00500000, -0.00100000, -0.00300000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0100, 1, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80979997, -0.57769996, 0.03630000, -0.09500000, 0.00400000, 0.00000000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82749999, -0.51410002, -0.19080000, -0.11979999, 0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82749999, -0.51410002, -0.19080000, -0.11979999, 0.00100000, -0.00100000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0200, 2, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80979997, -0.57769996, 0.03630000, -0.09510000, 0.00000000, 0.00000000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82749999, -0.51410002, -0.19080000, -0.11979999, 0.00000000, -0.00100000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0300, 3, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80979997, -0.57769996, 0.03620000, -0.09510000, -0.00200000, 0.00100000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82749999, -0.51400000, -0.19080000, -0.11979999, 0.00000000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0400, 4, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80979997, -0.57769996, 0.03620000, -0.09500000, -0.00200000, 0.00100000, -0.00400000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
